angDist,match_file,id,aic_flare,chi_flare,dof_flare,red_flare,aic_gauss,chi_gauss,dof_gauss,red_gauss,exp_comp,perc_comp,fl_indx,equivdur,ra,dec,xpos,ypos,flare_time,end_time,flare_end_diff,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
1.054763,ztf_000539_zr_c01_q4_match_programid,73717,101.93284898159429,93.93284878780693,25,3.7573139515122773,53.38041834398162,45.38041838540072,25,1.815216735416029,2.8640041672082837E-11,-48.55243063761267,[94 95 96 97],1376.9830067357923,288.0525722,8.3239215,1676.872,2014.709,58334.2709028,58334.298588,0.024918999995861668,288.0528035395868,8.3237386158223,0.017,0.016,0,4307316392130926848,288.05280553130,0.4562,8.32373132682,0.4991,0.9539,0.5368,0.458,1.042,-1.693,1.103,0,1.89184e+02,1.16731e+00,19.996155,4.48688e+01,6.62507e+00,21.221527,3.01632e+02,7.86001e+00,18.563227,2.658300,,,0,,,,,
1.719555,ztf_000539_zr_c01_q4_match_programid,86897,130.78355455873793,122.78355550045464,22,5.58107070456612,89.8531202240786,81.85312086461335,22,3.72059640293697,1.29440181513147E-9,-40.93043433465934,[115 116 117],1389.1667364240143,288.4613031,8.4955232,249.406,1383.007,58334.2810532,58334.2976736,0.013842599997587968,288.4617860509205,8.4955216384636,0.026,0.023,90,4308070936296129280,288.46178435328,0.7096,8.49552393743,0.7994,1.4976,1.0942,-0.390,1.706,0.534,1.501,0,1.77099e+02,1.49028e+00,20.067825,1.12408e+02,1.26247e+01,20.224392,2.60222e+02,7.28003e+00,18.723560,1.500832,,,0,,,,,
0.953847,ztf_000539_zr_c01_q4_match_programid,91611,323.1996730428329,315.1996722714355,48,6.566659838988239,216.78893463654722,208.7889334988099,48,4.349769447891873,7.819909868427473E-24,-106.41073840628567,[85 86 87],4442.1495434288245,288.4621558,8.4977742,245.271,1375.709,58334.2745949,58334.298588,0.014756999997189268,288.4624172118197,8.4978321526451,0.026,0.024,90,4308070936296135424,288.46240220628,0.6743,8.49783150358,0.7358,-0.1991,1.0473,-3.447,1.689,-0.151,1.517,0,1.64865e+02,1.20850e+00,20.145542,9.33125e+01,3.31087e+01,20.426538,2.40690e+02,1.11877e+01,18.808275,1.618263,,,0,,,,,
0.069427,ztf_000539_zr_c01_q4_match_programid,138,60.44559639647464,52.44559593453789,27,1.942429479056959,62.12535403556777,54.12535338387672,27,2.00464271792136,2.316086295387411,1.6797576390931255,[120 121 122],204.87138653591103,288.4075425,8.8707507,458.375,53.277,58334.2644444,58334.298588,0.03230329999496462,288.4075288232751,8.8707644591859,0.008,0.007,90,4308848595941167360,288.40751713565,0.2296,8.87074654476,0.2408,0.2878,0.2718,-2.682,0.514,-4.161,0.466,0,5.27152e+02,1.49368e+00,18.883526,7.26009e+01,9.05528e+00,20.699034,7.60223e+02,1.26099e+01,17.559568,3.139465,,,0,,,,,
0.157996,ztf_000539_zr_c02_q2_match_programid,49026,19.565147455320442,11.565147471714745,25,0.4626058988685898,15.425452266981498,7.425452280753274,25,0.29701809123013095,0.12620501461946723,-4.139695188338944,[70 71 72],170.4326736877321,285.6318635,9.6121599,543.006,572.64,58334.2192245,58334.298588,0.07752320000145119,285.6318834230131,9.6121206535717,0.020,0.018,0,4310743161883061632,285.63187835392,0.5118,9.61211568820,0.6695,-0.0056,0.7526,-1.161,1.163,-1.153,1.312,0,2.30622e+02,1.88373e+00,19.781113,6.99248e+01,7.33749e+00,20.739810,4.09023e+02,9.28185e+00,18.232552,2.507259,,,0,,,,,
0.787279,ztf_000539_zr_c02_q2_match_programid,140068,46.36493584278854,38.364935703830525,18,2.1313853168794736,45.44226861647312,37.442268506741165,18,2.080126028152287,0.6304423184581357,-0.9226672263154185,[61 62 63],181.27849401618775,285.0960386,9.5092592,2431.044,942.924,58334.2662847,58334.2967477,0.02861109999503242,285.0960301881981,9.5090406687942,0.008,0.008,0,4310832291016025728,285.09601840802,0.2356,9.50902315216,0.2504,0.2538,0.3186,-2.698,0.501,-4.068,0.524,0,5.88356e+02,1.90752e+00,18.764265,1.05305e+02,1.23571e+01,20.295261,9.21737e+02,1.85925e+01,17.350403,2.944859,,,0,,,,,
1.768952,ztf_000539_zr_c02_q2_match_programid,140068,46.36493584278854,38.364935703830525,18,2.1313853168794736,45.44226861647312,37.442268506741165,18,2.080126028152287,0.6304423184581357,-0.9226672263154185,[61 62 63],181.27849401618775,285.0960386,9.5092592,2431.044,942.924,58334.2662847,58334.2967477,0.02861109999503242,285.0960585682706,9.5097501806854,0.006,0.005,90,4310832286721874304,285.09605635077,0.1774,9.50974330107,0.1791,0.3618,0.2346,-0.508,0.365,-1.598,0.321,0,7.48055e+02,1.50124e+00,18.503532,1.84073e+02,1.09295e+01,19.688915,9.23446e+02,9.58144e+00,17.348390,2.340525,,,0,,,,,
0.080476,ztf_000539_zr_c02_q3_match_programid,5372,16.773965363236087,8.773965354861076,27,0.3249616798096695,15.863089317331607,7.863089318321362,27,0.2912255303081986,0.6341701260312754,-0.9108760459044802,[88 89 90],123.00258315781278,285.754723,8.7717075,102.842,479.188,58334.2330671,58334.298588,0.06368059999658726,285.7547441690675,8.7717153745222,0.003,0.003,90,4310544459500067584,285.75473580976,0.0952,8.77170269565,0.1032,0.1509,0.1202,-1.919,0.203,-2.945,0.186,0,4.95985e+03,5.47078e+00,16.449694,5.25720e+02,1.98246e+01,18.549501,7.68236e+03,2.30890e+01,15.048183,3.501319,,,0,3666.00,2.8050,1.4255,,
0.173650,ztf_000539_zr_c02_q3_match_programid,10222,111.62833613965007,103.62833682996373,18,5.757129823886874,66.0576418334488,58.057642096282436,18,3.22542456090458,1.2718897375439316E-10,-45.570694306201275,[148 149 150],304.1488793016065,285.0603153,8.652719,2550.616,906.407,58334.2884375,58334.298588,0.008298599997942802,285.0603580031004,8.6526956669610,0.007,0.007,0,4310202300917611264,285.06032542029,0.1950,8.65268691601,0.2283,2.0216,0.3142,-7.481,0.427,-2.032,0.454,0,6.06891e+02,1.53352e+00,18.730589,9.57065e+01,7.13329e+00,20.399035,9.14880e+02,8.20671e+00,17.358510,3.040525,,,0,,,,,
0.620343,ztf_000539_zr_c02_q3_match_programid,25261,67.42437140214363,59.42437155629198,43,1.3819621292160926,27.403100515157487,19.403100697372246,43,0.45123489993888943,2.039348498673309E-9,-40.021270886986144,[81 82 83 84],358.2056667068409,285.1188786,8.2696437,2332.125,2271.16,58334.2284491,58334.298588,0.06736109999474138,285.1189710917751,8.2694977014757,0.007,0.007,90,4310127465406104704,285.11896592693,0.1870,8.26949461297,0.1989,0.3389,0.2437,-1.187,0.458,-0.717,0.425,0,9.46776e+02,1.71109e+00,18.247747,5.60878e+01,1.41857e+01,20.979218,1.72574e+03,1.53179e+01,16.669485,4.309732,,,0,,,,,
